PlayerId	Team	Since	Till
106	We Love Gaming	2020-11-20	2021
106	BCN Squad	2021-01-06	2021
106	We Love Gaming	2021-05-19	2021
106	Esport Empire	2021-12-27	2023-11-19
106	We Love Gaming	2022-05-06	2022
106	Wizards	2022-12-23	2023-11-19
107	Team Phantasma	2022-01-04	2022
107	We Love Gaming	2022-12-12	2023
107	We Love Gaming	2023-05-29	2023
110	devils.one	2020-12-22	2021
110	Austrian Force	2021-08-16	2021
110	Gentlemen's Gaming	2021-12-01	2022
116	X7 Esports	2021-12-17	2022
116	FUT Esports	2023-01-11	2023
117	Sample Text	2014-05-18	2014
117	Denial eSports EU	2014-06-23	2014
117	Kolejny Cios	2014-09-04	2014
117	Team ROCK	2014-12-16	2023-11-19
117	Reason Gaming	2015-05-31	2015
117	Team Overclockers UK	2015-06-19	2015
117	Illuminar Gaming	2015-12-11	2016
117	E-corp Gaming	2016-02-26	2016
117	Team Kinguin	2016-11-28	2017
117	e-Meryci	2017-04-20	2017
117	Reign	2017-04-26	2017
117	Wind and Rain	2017-06-06	2017
117	Illuminar Gaming	2017-08-27	2018
117	piratesports	2019-11-13	2020
117	YDN Gamers	2019-12-01	2020
117	Illuminar Gaming	2020-05-16	2021
117	We Love Gaming	2021-05-20	2021
117	Orbit Anonymo	2023-03-29	2023-11-19
118	Oyun Hizmetleri		2023-11-19
118	Galakticos	2018-01-03	2018
118	Sangal Esports	2018-09-17	2019
118	Beşiktaş Esports	2019-05-17	2019
118	Beşiktaş Esports	2019-11-12	2020
118	paiN Gaming	2020-12-18	2021
118	Galakticos	2021-07-21	2021
118	Dynamo Eclot	2022-01-16	2022
118	Rensga Esports	2022-06-11	2022
118	Galakticos	2022-12-14	2023
119	SuperMassive TNG	2016-10-14	2023-11-19
119	Fenerbahçe	2016-12-10	2017
119	Dark Passage	2017-11-29	2018
119	YouthCrew Esports	2018-06-30	2018
119	Fenerbahçe	2018-11-27	2019
119	Bursaspor Esports	2019-05-24	2019
119	Royal Youth	2019-12-21	2020
119	Royal Youth	2020-01-14	2020
119	Papara SuperMassive	2020-02-26	2020
119	Fenerbahçe	2020-05-22	2020
119	NASR Turkey	2021-01-09	2021
119	NASR Turkey	2021-12-16	2022
119	Team Phantasma	2023-01-03	2023
121	P3P eSports	2017-03-14	2023-11-19
121	Royal Bandits	2017-06-16	2017
121	Dark Passage	2017-07-26	2017
121	Team AURORA	2018-01-31	2018
121	RY Academy	2019-01-08	2019
121	Beşiktaş Esports	2019-02-06	2019
121	Galatasaray Esports	2019-05-28	2019
121	Fenerbahçe	2020-02-26	2020
121	İstanbul Wildcats	2020-12-20	2021
121	İstanbul Wildcats	2022-01-11	2022
121	Papara SuperMassive	2023-04-01	2023
121	Crvena zvezda	2023-05-28	2023
123	Team Turquality	2016-12-23	2023-11-19
123	P3P eSports	2017-05-24	2017
123	Team AURORA	2018-01-03	2023-11-19
123	5 Ronin	2023-01-05	2023
124	DP Academy	2018-12-24	2019
124	Beşiktaş Esports	2019-05-17	2019
124	Beşiktaş Esports	2019-11-12	2020
124	Beşiktaş Academy	2021-02-10	2021
124	Beşiktaş Academy	2021-05-27	2022
124	Beşiktaş Esports	2023-01-02	2023-11-19
134	Team gamed!de	2012-06-03	2012
134	ESC Gaming	2014-01-31	2014
134	Att. to Reconnect		2023-11-19
134	EYES ON U	2017-06-04	2023-11-19
134	Tick Trick and Duck		2023-11-19
134	Tempered Fate	2018-05-13	2018
134	OP innogy	2019-01-11	2020
134	E WIE EINFACH	2020-12-21	2022
134	E WIE EINFACH	2022-12-21	2023
134	E WIE EINFACH	2023-01-09	2023-11-19
135	Tempered Fate	2018-08-20	2018
135	OP innogy	2019-01-11	2019
135	MOBA ROG	2019-05-22	2019
135	PANTHERS Gaming	2019-07-25	2019
135	Black Lion	2019-09-16	2019
135	Racoon	2019-09-24	2019
135	BCN Squad	2020-01-14	2020
135	Demise	2020-02-18	2020
135	PENTA 1860	2020-05-02	2022
135	BIG	2022-11-22	2023-11-19
136	Unicorns of Love	2013-08-15	2014
